aX,aY,aZ,gX,gY,gZ
0.259,0.617,0.747,-0.732,-2.441,-4.456
0.256,0.615,0.764,-6.897,-3.723,-3.967
0.250,0.621,0.767,-11.719,-3.113,-2.869
0.249,0.628,0.760,-13.367,-0.854,-1.770
0.243,0.633,0.751,-11.902,1.221,-1.221
0.239,0.638,0.743,-8.301,3.235,-0.549
0.238,0.646,0.731,-4.333,5.432,0.488
0.240,0.651,0.720,-0.427,8.057,1.099
0.234,0.656,0.712,2.625,10.071,0.427
0.231,0.658,0.702,4.700,11.597,-0.427
0.233,0.660,0.686,5.432,13.367,-1.160
0.240,0.652,0.669,5.737,14.832,-2.319
0.246,0.640,0.653,4.700,14.587,-4.395
0.252,0.626,0.643,3.052,12.878,-5.981
0.257,0.613,0.642,0.671,10.254,-6.592
0.261,0.603,0.641,-1.953,7.446,-5.859
0.260,0.602,0.647,-4.578,5.493,-4.700
0.263,0.602,0.650,-6.775,3.784,-3.235
0.258,0.609,0.658,-7.324,2.686,-2.380
0.259,0.613,0.664,-6.348,1.892,-1.709
0.258,0.616,0.670,-4.333,1.587,-1.160
0.257,0.620,0.673,-2.502,1.892,-0.610
0.259,0.623,0.674,-1.160,2.197,-0.366
0.258,0.626,0.674,-0.549,2.441,-0.366
0.262,0.625,0.675,0.000,2.380,-0.244
0.261,0.625,0.681,-0.305,1.709,-0.488
0.256,0.630,0.688,-1.404,0.793,-0.305
0.254,0.638,0.692,-2.258,0.916,0.122
0.255,0.642,0.691,-2.930,1.160,0.061
0.257,0.639,0.693,-2.319,1.343,-0.549
0.261,0.630,0.694,-1.343,1.465,-1.099
0.262,0.622,0.693,-1.282,1.892,-1.160
0.263,0.619,0.689,-2.014,2.625,-0.671
0.256,0.624,0.683,-2.869,3.113,0.183
0.247,0.637,0.677,-3.296,3.418,1.160
0.244,0.652,0.674,-2.502,3.296,1.648
0.246,0.658,0.678,-1.099,2.441,1.343
0.251,0.656,0.686,-0.244,1.465,0.061
0.259,0.648,0.690,-0.488,1.404,-1.221
0.266,0.635,0.691,-1.831,1.892,-2.136
0.269,0.620,0.688,-3.723,2.441,-2.991
0.267,0.610,0.684,-4.883,2.930,-2.930
0.265,0.609,0.677,-4.944,2.930,-1.648
0.259,0.618,0.675,-3.479,2.747,0.061
0.251,0.633,0.677,-1.221,2.747,2.319
0.247,0.650,0.681,1.587,2.808,4.028
0.239,0.666,0.689,3.967,2.991,4.272
0.237,0.677,0.693,5.371,3.601,3.723
0.239,0.683,0.691,5.188,4.761,2.258
0.240,0.681,0.688,4.272,5.981,0.183
0.244,0.672,0.681,2.563,6.531,-1.465
0.251,0.658,0.672,0.427,6.897,-3.052
0.254,0.643,0.662,-1.404,6.775,-4.517
0.254,0.636,0.657,-2.625,5.981,-4.822
0.258,0.635,0.654,-2.869,5.066,-4.333
0.258,0.640,0.661,-1.953,3.967,-3.540
0.252,0.656,0.671,-0.244,3.357,-2.563
0.251,0.673,0.681,1.648,3.601,-2.014
0.254,0.684,0.685,3.784,5.127,-2.747
0.252,0.695,0.678,5.737,8.484,-4.272
0.247,0.708,0.664,7.324,13.184,-6.042
0.254,0.716,0.646,9.766,17.334,-8.240
0.251,0.717,0.636,13.794,20.142,-12.024
0.267,0.702,0.634,18.494,21.973,-16.663
0.277,0.686,0.635,22.827,23.132,-21.484
0.291,0.666,0.637,26.550,24.597,-25.269
0.301,0.644,0.635,30.396,27.222,-28.259
0.313,0.617,0.636,34.790,30.212,-29.663
0.319,0.586,0.641,39.978,32.959,-29.968
0.715,-0.616,1.533,-30.518,-33.569,-34.180
0.724,-0.720,1.642,-49.316,-26.367,-22.705
0.683,-0.758,1.734,-60.120,-13.611,-6.470
0.628,-0.792,1.777,-62.561,6.653,20.325
0.591,-0.759,1.749,-58.533,31.555,53.650
0.526,-0.678,1.658,-44.495,58.899,87.830
0.478,-0.557,1.520,-19.409,87.708,118.958
0.462,-0.436,1.366,14.038,113.281,143.860
0.428,-0.315,1.211,49.438,131.042,163.025
0.386,-0.183,1.049,77.332,145.386,177.246
0.336,-0.061,0.899,92.651,157.715,188.721
0.301,0.056,0.784,95.093,166.565,197.693
0.206,0.166,0.682,85.022,165.894,208.191
0.121,0.293,0.602,66.711,158.203,222.168
0.039,0.400,0.512,42.908,144.836,238.098
-0.017,0.698,0.412,20.996,114.990,238.647
-0.151,0.932,0.459,16.479,83.984,232.544
-0.315,1.149,0.564,13.123,58.716,227.844
-0.377,1.318,0.648,4.395,46.814,227.600
-0.390,1.482,0.693,-5.005,49.072,219.543
-0.426,1.599,0.667,-8.911,70.007,196.594
-0.401,1.582,0.572,-4.578,96.008,165.161
-0.354,1.482,0.445,3.662,115.906,127.991
-0.337,1.339,0.319,11.597,124.146,94.910
-0.346,1.226,0.218,17.090,122.986,75.867
-0.390,1.210,0.144,21.729,111.389,73.914
-0.383,1.269,0.137,29.419,90.393,83.618
-0.385,1.389,0.207,39.734,63.416,95.459
-0.363,1.520,0.324,45.410,41.687,102.783
-0.328,1.640,0.434,42.175,25.696,101.196
-0.258,1.728,0.545,31.677,16.479,89.294
-0.208,1.779,0.651,16.296,13.184,70.984
